Alpha,CL,CD,Lift(N),Drag(N),AeronFactor
0,0.7,0.05576,28637.519501230934,2281.182981983767,12.55380200860832
1,1.6,0.10544,65457.187431385,4313.6286517282715,15.174506828528072
2,2.5,0.194,102276.85536153906,7936.683976055431,12.88659793814433
3,3.4000000000000004,0.32144000000000006,139096.52329169313,13150.348954965248,10.577401692384269
4,4.3,0.48775999999999997,175916.19122184717,19954.623588457715,8.815811054617026
5,5.2,0.6929600000000001,212735.85915200124,28349.507876532847,7.504040637266219
6,6.1000000000000005,0.9370400000000002,249555.5270821553,38335.001819190635,6.5098608383847
7,7.0,1.22,286375.19501230936,49911.105416431055,5.737704918032787
8,7.9,1.54184,323194.8629424634,63077.81866825416,5.123748248845535
9,8.799999999999999,1.9025599999999996,360014.53087261744,77835.14157465988,4.6253469010175765
10,9.7,2.3021599999999998,396834.1988027715,94183.07413564829,4.2134343399242455
11,10.6,2.74064,433653.8667329256,112121.61635121936,3.8677097320333935
12,11.5,3.218,470473.53466307966,131650.76822137306,3.5736482287134868
13,12.4,3.7342400000000007,507293.2025932337,152770.52974610947,3.3206221346244478
14,13.299999999999999,4.2893599999999985,544112.8705233877,175480.9009254284,3.100695674879237
